Wave   ;IRR_bright_10cm
173.35000;0.00000
173.96000;0.00000
174.56000;0.00000
175.16000;0.00000
175.76000;0.00000
176.37000;0.00000
176.97000;0.00000
177.57000;0.00000
178.17000;0.00000
178.78000;0.00000
179.38000;0.00000
179.98000;0.00000
180.58000;0.00000
181.19000;0.00000
181.79000;0.00000
182.39000;0.00000
182.99000;0.00000
183.59000;0.00000
184.20000;0.00000
184.80000;0.00000
185.40000;0.00000
186.00000;0.00000
186.60000;0.00000
187.21000;0.00000
187.81000;0.00000
188.41000;0.00000
189.01000;0.00000
189.61000;0.00000
190.22000;0.00000
190.82000;0.00000
191.42000;0.00000
192.02000;0.00000
192.62000;0.00000
193.22000;0.00000
193.83000;0.00000
194.43000;0.00000
195.03000;0.00000
195.63000;0.00000
196.23000;0.00000
196.83000;0.00000
197.44000;0.00000
198.04000;0.00000
198.64000;0.00000
199.24000;0.00000
199.84000;0.00000
200.44000;0.00000
201.05000;0.00000
201.65000;0.00000
202.25000;0.00000
202.85000;0.00000
203.45000;0.00000
204.05000;0.00000
204.65000;0.00000
205.25000;0.00000
205.86000;0.00000
206.46000;0.00000
207.06000;0.00000
207.66000;0.00000
208.26000;0.00000
208.86000;0.00000
209.46000;0.00000
210.06000;0.00000
210.66000;0.00000
211.27000;0.00000
211.87000;0.00000
212.47000;0.00000
213.07000;0.00000
213.67000;0.00000
214.27000;0.00000
214.87000;0.00000
215.47000;0.00000
216.07000;0.00000
216.67000;0.00000
217.27000;0.00000
217.87000;0.00000
218.48000;0.00000
219.08000;0.00000
219.68000;0.00000
220.28000;0.00000
220.88000;0.00000
221.48000;0.00000
222.08000;0.00000
222.68000;0.00000
223.28000;0.00000
223.88000;0.00000
224.48000;0.00000
225.08000;0.00000
225.68000;0.00000
226.28000;0.00000
226.88000;0.00000
227.48000;0.00000
228.08000;0.00000
228.68000;0.00000
229.28000;0.00000
229.88000;0.00000
230.48000;0.00000
231.08000;0.00000
231.68000;0.00000
232.28000;0.00000
232.88000;0.00000
233.48000;0.00000
234.09000;0.00000
234.69000;0.00000
235.29000;0.00000
235.88000;0.00000
236.48000;0.00000
237.08000;0.00000
237.68000;0.00000
238.28000;0.00000
238.88000;0.00000
239.48000;0.00000
240.08000;0.00000
240.68000;0.00000
241.28000;0.00000
241.88000;0.00000
242.48000;0.00000
243.08000;0.00000
243.68000;0.00000
244.28000;0.00000
244.88000;0.00000
245.48000;0.00000
246.08000;0.00000
246.68000;0.00000
247.28000;0.00000
247.88000;0.00000
248.48000;0.00000
249.08000;0.00000
249.68000;0.00000
250.28000;0.00000
250.88000;0.00000
251.48000;0.00000
252.07000;0.00000
252.67000;0.00000
253.27000;0.00000
253.87000;0.00000
254.47000;0.00000
255.07000;0.00000
255.67000;0.00000
256.27000;0.00000
256.87000;0.00000
257.47000;0.00000
258.07000;0.00000
258.66000;0.00000
259.26000;0.00000
259.86000;0.00000
260.46000;0.00000
261.06000;0.00000
261.66000;0.00000
262.26000;0.00000
262.86000;0.00000
263.46000;0.00000
264.05000;0.00000
264.65000;0.00000
265.25000;0.00000
265.85000;0.00000
266.45000;0.00000
267.05000;0.00000
267.65000;0.00000
268.24000;0.00000
268.84000;0.00000
269.44000;0.00000
270.04000;0.00000
270.64000;0.00000
271.24000;0.00000
271.84000;0.00000
272.43000;0.00000
273.03000;0.00000
273.63000;0.00000
274.23000;0.00000
274.83000;0.00000
275.43000;0.00000
276.02000;0.00000
276.62000;0.00000
277.22000;0.00000
277.82000;0.00000
278.42000;0.00000
279.01000;0.00000
279.61000;0.00000
280.21000;0.00000
280.81000;0.00000
281.41000;0.00000
282.00000;0.00000
282.60000;0.00000
283.20000;0.00000
283.80000;0.00000
284.40000;0.00000
284.99000;0.00000
285.59000;0.00000
286.19000;0.00000
286.79000;0.00000
287.38000;0.00000
287.98000;0.00000
288.58000;0.00000
289.18000;0.00000
289.77000;0.00000
290.37000;0.00000
290.97000;0.00000
291.57000;0.00000
292.17000;0.00000
292.76000;0.00000
293.36000;0.00000
293.96000;0.00000
294.55000;0.00000
295.15000;0.00000
295.75000;0.00000
296.35000;0.00000
296.94000;0.00000
297.54000;0.00000
298.14000;0.00000
298.74000;0.00000
299.33000;0.00000
299.93000;0.00000
300.53000;0.00000
301.12000;0.00000
301.72000;0.00000
302.32000;0.00000
302.92000;0.00000
303.51000;0.00000
304.11000;0.00000
304.71000;0.00000
305.30000;0.00000
305.90000;0.00000
306.50000;0.00000
307.09000;0.00000
307.69000;0.00000
308.29000;0.00000
308.88000;0.00000
309.48000;0.00000
310.08000;0.00000
310.67000;0.00000
311.27000;0.00000
311.87000;0.00000
312.46000;0.00000
313.06000;0.00000
313.66000;0.00000
314.25000;0.00000
314.85000;0.00000
315.45000;0.00000
316.04000;0.00000
316.64000;0.00000
317.23000;0.00000
317.83000;0.00000
318.43000;0.00000
319.02000;0.00000
319.62000;0.00000
320.22000;0.00000
320.81000;0.00000
321.41000;0.00000
322.00000;0.00000
322.60000;0.00000
323.20000;0.00000
323.79000;0.00000
324.39000;0.00000
324.98000;0.00000
325.58000;0.00000
326.18000;0.00000
326.77000;0.00000
327.37000;0.00000
327.96000;0.00000
328.56000;0.00000
329.15000;0.00000
329.75000;0.00000
330.35000;0.00000
330.94000;0.00000
331.54000;0.00000
332.13000;0.00000
332.73000;0.00000
333.32000;0.00000
333.92000;0.00000
334.52000;0.00000
335.11000;0.00000
335.71000;0.00000
336.30000;0.00000
336.90000;0.00000
337.49000;0.00000
338.09000;0.00000
338.68000;0.00000
339.28000;0.00000
339.87000;0.00000
340.47000;0.00000
341.06000;0.00000
341.66000;0.00000
342.25000;0.00000
342.85000;0.00000
343.44000;0.00000
344.04000;0.00000
344.63000;0.00000
345.23000;0.00000
345.82000;0.00000
346.42000;0.00000
347.01000;0.00000
347.61000;0.00000
348.20000;0.00000
348.80000;0.00000
349.39000;0.00000
349.99000;0.00000
350.58000;0.00043
351.18000;0.00045
351.77000;0.00054
352.37000;0.00061
352.96000;0.00061
353.56000;0.00050
354.15000;0.00055
354.75000;0.00051
355.34000;0.00043
355.93000;0.00045
