"","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved","lum"
"M1_DF_DARK_012_K176786_P4",0.229417615908591,0.110918118248719,0.304109511320966,0.355554754521723,-0.020582384091409,-0.139081881751281,0.0541095113209662,0.105554754521723,0.149808732814925,0.0501148318906075,-0.020582384091409,0.322823064198514,-0.12956406180465,0.159304071943952,0.286349433042678,0.556327527005122,0.00133345736173144
"M1_DF_DARK_012_K176787_P1",0.2309148206629,0.181643988138279,0.288451947288456,0.298989243910365,-0.0190851793371005,-0.0683560118617209,0.0384519472884561,0.0489892439103653,0.0718590000944984,0.0340368191515299,-0.0190851793371005,0.442355417050405,-0.235571196345878,0.0817708078892728,0.299062239231748,0.273424047446884,0.00381344808980104
"M1_DF_DARK_012_K176787_P2",0.185968441416139,0.104210494312283,0.342512248012268,0.36730881625931,-0.0640315585838611,-0.145789505687717,0.0925122480122679,0.11730881625931,0.161114160238178,0.0754854822261336,-0.0640315585838611,0.438149380401575,-0.34545631696789,0.189092229218558,0.324255556541215,0.583158022750869,0.0040206339441919
"M1_DF_DARK_012_K176787_P3",0.179328192016862,0.0804715690580952,0.356096722340232,0.384103516584811,-0.0706718079831381,-0.169528430941905,0.106096722340232,0.134103516584811,0.185935835261993,0.0875463104108712,-0.0706718079831381,0.440049922077115,-0.331209053796344,0.217326932856324,0.320487442207848,0.678113723767619,0.00338172385669333
"M1_DF_DARK_012_K176787_P4",0.227971376659162,0.118416069942993,0.31252931951702,0.341083233880824,-0.0220286233408376,-0.131583930057007,0.0625293195170204,0.0910832338808243,0.136355233530085,0.0585340643079429,-0.0220286233408376,0.405487093016222,-0.147376552299262,0.150014154804614,0.28501610101557,0.526335720228028,0.00181746068446059
"M1_DF_DARK_012_K176788_P1",0.228753965271157,0.176671427560083,0.291240547063231,0.303334060105529,-0.0212460347288425,-0.0733285724399172,0.0412405470632312,0.0533340601055285,0.077564704803496,0.0362305981173359,-0.0212460347288425,0.436984257800015,-0.243259893966068,0.0882061996851274,0.300722476758293,0.293314289759669,0.00298323914720985
"M1_DF_DARK_012_K176788_P2",0.182508862167214,0.0984431286529969,0.340556838840334,0.378491170339455,-0.0674911378327862,-0.151556871347003,0.0905568388403339,0.128491170339455,0.171493701399374,0.0721883116244466,-0.0674911378327862,0.398425547518267,-0.347964319901454,0.197930027132848,0.326494644178273,0.606227485388012,0.00290263189110353
"M1_DF_DARK_012_K176788_P3",0.183110886422623,0.0952091347494947,0.34564559089377,0.376034387934113,-0.0668891135773772,-0.154790865250505,0.0956455908937696,0.126034387934113,0.171969644297553,0.0777985959683078,-0.0668891135773772,0.424845700488708,-0.340572647674253,0.200250676926781,0.323421341115166,0.619163461002021,0.00267997197495294
"M1_DF_DARK_012_K176788_P4",0.230084585131157,0.10782168031465,0.311710151958845,0.350383582595348,-0.0199154148688427,-0.14217831968535,0.0617101519588454,0.100383582595348,0.148538222906636,0.0584123379252768,-0.0199154148688427,0.374672046500784,-0.124133316152538,0.160848464821883,0.282828748394711,0.568713278741401,0.00129817919185666
"M1_DF_DARK_012_K176789_P1",0.225472244348553,0.17764874341825,0.289565183826594,0.307313828406602,-0.024527755651447,-0.0723512565817497,0.0395651838265943,0.0573138284066024,0.0794033239190194,0.0332933434998033,-0.024527755651447,0.397027770692203,-0.277521524877437,0.0895262272637561,0.309345792642179,0.289405026326999,0.00306052592168314
"M1_DF_DARK_012_K176789_P2",0.169642997990269,0.0905387668952463,0.350455906863282,0.389362328251203,-0.0803570020097312,-0.159461233104754,0.100455906863282,0.139362328251203,0.182991312110839,0.0781390889114554,-0.0803570020097312,0.403571758387684,-0.383822892470476,0.214589807064433,0.336429430034986,0.637844932419015,0.00311185552491839
"M1_DF_DARK_012_K176789_P3",0.162178668855945,0.0895270315719043,0.350312590527159,0.397981709044992,-0.0878213311440549,-0.160472968428096,0.100312590527159,0.147981709044992,0.188889142145955,0.0753480401078197,-0.0878213311440549,0.37955847844711,-0.407654587797042,0.221515284738183,0.345097505997465,0.641891873712383,0.00309105904545824
"M1_DF_DARK_012_K176789_P4",0.226804927266987,0.128090942360951,0.302182606221033,0.342921524151029,-0.0231950727330134,-0.121909057639049,0.0521826062210331,0.0929215241510292,0.131556326632735,0.0471473154685053,-0.0231950727330134,0.344121776699065,-0.164476613355841,0.141661384406885,0.29050627400123,0.487636230556196,0.00176940659879277
"M1_DF_DARK_012_K176790_P1",0.230485052169365,0.184495033731159,0.290051659386006,0.294968254713471,-0.0195149478306349,-0.0655049662688413,0.0400516593860055,0.0449682547134706,0.0676507554120981,0.0355816239516557,-0.0195149478306349,0.484199654342657,-0.249966523609892,0.0788892252446236,0.301081084909088,0.262019865075365,0.00343912161788516
"M1_DF_DARK_012_K176790_P2",0.184166136545485,0.10568043658417,0.341663333483989,0.368490093386355,-0.0658338634545146,-0.14431956341583,0.0916633334839891,0.118490093386355,0.16093738966033,0.0739478613988406,-0.0658338634545146,0.430711265038382,-0.35587855668809,0.188952976090589,0.327316982566938,0.57727825366332,0.00341448491790509
"M1_DF_DARK_012_K176790_P3",0.156218692359643,0.0676884892980897,0.365081883199597,0.411010935142671,-0.0937813076403573,-0.18231151070191,0.115081883199597,0.161010935142671,0.210241202390884,0.0889060707127105,-0.0937813076403574,0.40007067762727,-0.389817061183275,0.246780441394924,0.33840490987761,0.729246042807641,0.00277823086044059
"M1_DF_DARK_012_K176790_P4",0.232724456094118,0.138591266883444,0.298162245693719,0.330522031328718,-0.0172755439058817,-0.111408733116556,0.0481622456937194,0.0805220313287179,0.117533109708308,0.044975948668535,-0.0172755439058817,0.365474726272908,-0.136424077762235,0.127024848961075,0.285042396156192,0.445634932466223,0.00194649681988733
"M1_DF_DARK_012_K176791_P1",0.232049576500137,0.175405022434594,0.291812035869917,0.300733365195352,-0.0179504234998629,-0.0745949775654062,0.0418120358699169,0.0507333651953522,0.076747622518123,0.0380019280572884,-0.0179504234998629,0.45976367352733,-0.20661034366487,0.0875017817080318,0.293256277312064,0.298379910261625,0.00348003702873347
"M1_DF_DARK_012_K176791_P2",0.184170752364977,0.105579472146082,0.337265737664488,0.372984037824454,-0.0658292476350233,-0.144420527853918,0.0872657376644876,0.122984037824454,0.163751185200641,0.0692851386001415,-0.0658292476350233,0.400270652327764,-0.354583339229376,0.189600556248257,0.328209152579817,0.577682111415673,0.0035765454896583
"M1_DF_DARK_012_K176791_P3",0.169123423626631,0.080292773156138,0.35448998727813,0.3960938159391,-0.0808765763733687,-0.169707226843862,0.10448998727813,0.1460938159391,0.193387853764274,0.0822341800593128,-0.0808765763733687,0.402064843453753,-0.367386097508766,0.225171807647976,0.331706274145803,0.678828907375448,0.00280389712284754
"M1_DF_DARK_012_K176791_P4",0.222145460584297,0.130213172149013,0.300957124781407,0.346684242485283,-0.0278545394157025,-0.119786827850987,0.0509571247814067,0.0966842424852828,0.132560916599497,0.0442001258702169,-0.0278545394157026,0.321839856366059,-0.196758371709414,0.142484817095376,0.297371630194234,0.479147311403947,0.00171120283398877
"M1_DF_DARK_012_K176792_P1",0.22823148326556,0.177525924843173,0.290205461325458,0.304037130565808,-0.0217685167344398,-0.0724740751568268,0.0402054613254583,0.0540371305658083,0.0774719751911818,0.0349479986162999,-0.0217685167344398,0.423772499797677,-0.250740519497028,0.0877333338482334,0.302636955554062,0.289896300627307,0.00333992144465618
"M1_DF_DARK_012_K176792_P2",0.144244686888126,0.0549360390757797,0.37459153121461,0.426227742821485,-0.105755313111874,-0.19506396092422,0.12459153121461,0.176227742821485,0.227368804976399,0.0947591253764425,-0.105755313111874,0.394874024537044,-0.405534951091681,0.268067251953488,0.343563273660822,0.780255843696881,0.00242203970454572
"M1_DF_DARK_012_K176792_P3",0.192565814348337,0.0918152956401765,0.344023627114338,0.371595262897148,-0.0574341856516627,-0.158184704359823,0.094023627114338,0.121595262897148,0.171329540008041,0.0794210654133467,-0.0574341856516627,0.434070838246378,-0.295248708174698,0.197383389858994,0.311950815121173,0.632738817439294,0.00376529162016373
"M1_DF_DARK_012_K176792_P4",0.216958094180303,0.1294521857964,0.30035379281668,0.353235927206617,-0.0330419058196966,-0.1205478142036,0.0503537928166795,0.103235927206617,0.137038994796492,0.0417261847044875,-0.0330419058196966,0.29556548496512,-0.22669315816845,0.14701199993546,0.304883172097927,0.4821912568144,0.00177663661574275
"M1_DF_DARK_012_K176793_P1",0.23809353738849,0.171050906941596,0.292409400379011,0.298446155290903,-0.0119064626115103,-0.0789490930584036,0.0424094003790105,0.0484461552909034,0.0780133385277358,0.040772391664809,-0.0119064626115103,0.48159010158367,-0.134445723809434,0.0888269821745115,0.281279298892011,0.315796372233614,0.00272036254461162
"M1_DF_DARK_012_K176793_P2",0.157877272410446,0.0744394953206953,0.357925660352106,0.409757571916753,-0.0921227275895536,-0.175560504679305,0.107925660352106,0.159757571916753,0.205339547297957,0.0819021467585277,-0.0921227275895536,0.37952497565422,-0.394829280888765,0.239497157116164,0.341046463658856,0.702242018717219,0.00247224860436918
"M1_DF_DARK_012_K176793_P3",0.169421644802979,0.0752975531054903,0.360169542869917,0.395111259221614,-0.0805783551970208,-0.17470244689451,0.110169542869917,0.145111259221614,0.195845098183229,0.0883636955769745,-0.0805783551970208,0.423844557028796,-0.35879945594143,0.229469641793149,0.328372106218566,0.698809787578038,0.00286948601281436
"M1_DF_DARK_012_K176793_P4",0.228433469800066,0.125334719644543,0.293873647155002,0.352358163400389,-0.0215665301999343,-0.124665280355457,0.0438736471550019,0.102358163400389,0.139022899212814,0.0389101102525126,-0.0215665301999343,0.272899966601693,-0.148291866985,0.145967388173741,0.292718605688662,0.498661121421826,0.00178178716889999
"M1_DF_DARK_022_K176580_P1",0.227158883862035,0.176706135041098,0.296136273427267,0.2999987076696,-0.0228411161379651,-0.0732938649589023,0.0461362734272674,0.0499987076696,0.0755009730037167,0.0408593536431339,-0.0228411161379651,0.496043714703567,-0.260040160191634,0.088834679551798,0.303008579236508,0.293175459835609,0.0039068110781775
"M1_DF_DARK_022_K176580_P2",0.192335809785071,0.115283550153169,0.337844965831316,0.354535674230443,-0.0576641902149288,-0.134716449846831,0.0878449658313161,0.104535674230443,0.146511405966593,0.0727862865823327,-0.0576641902149288,0.461081159056075,-0.338883030569202,0.173460642296449,0.321899520239863,0.538865799387323,0.00414419348080637
"M1_DF_DARK_022_K176580_P3",0.175498730127628,0.0832931939110713,0.355519809648388,0.385688266312912,-0.0745012698723716,-0.166706806088929,0.105519809648388,0.135688266312912,0.185178407029122,0.0855804828609518,-0.0745012698723716,0.432913059666062,-0.350156997145088,0.217176197335603,0.325685858950101,0.666827224355715,0.00335697133905661
"M1_DF_DARK_022_K176580_P4",0.219990919475783,0.121676917618363,0.314646714759517,0.343685448146337,-0.0300090805242174,-0.128323082381637,0.0646467147595172,0.0936854481463374,0.13595190458466,0.0579583834139069,-0.0300090805242174,0.402984230669573,-0.200327671230146,0.150806629436702,0.293802616485237,0.513292329526549,0.00170478622047258
"M1_DF_DARK_022_K176581_P1",0.214449844887181,0.175822300776033,0.302127275061984,0.307600579274802,-0.0355501551128191,-0.0741776992239673,0.0521272750619838,0.0576005792748025,0.0806973853760904,0.0427204466454038,-0.0355501551128191,0.486882791133498,-0.371286855472752,0.0979842747417438,0.330234948531824,0.296710796895869,0.00341183160115387
"M1_DF_DARK_022_K176581_P2",0.174708346314763,0.124913313859814,0.33995594075167,0.360422399073753,-0.0752916536852375,-0.125086686140185,0.0899559407516697,0.110422399073753,0.144219272140948,0.0687930641264911,-0.0752916536852375,0.445081553899182,-0.440344932972432,0.176636681477642,0.35302854150218,0.500346744560742,0.00412382000548885
"M1_DF_DARK_022_K176581_P3",0.167187256698453,0.0926855422185684,0.356522431565193,0.383604769517786,-0.0828127433015469,-0.157314457781432,0.106522431565193,0.133604769517786,0.17815091581196,0.0837053743837493,-0.0828127433015469,0.439243384131167,-0.39823977914099,0.213546924488487,0.339363157557304,0.629257831125726,0.00334679802122747
"M1_DF_DARK_022_K176581_P4",0.226056524292432,0.150049156871695,0.301008516447542,0.32288580238833,-0.0239434757075678,-0.0999508431283045,0.0510085164475418,0.0728858023883305,0.105840397592512,0.0456374047984852,-0.0239434757075678,0.407102595933745,-0.204820663066796,0.117721079285915,0.294447439364768,0.399803372513218,0.002270076849266
"M1_DF_DARK_022_K176582_P1",0.21881342072965,0.183640657397527,0.296217304412066,0.301328617460757,-0.0311865792703503,-0.0663593426024731,0.0462173044120662,0.0513286174607572,0.0720688627559897,0.0379947331948642,-0.0311865792703503,0.485170396657438,-0.365585945734388,0.0872360215511714,0.328650112139297,0.265437370409892,0.00373674957461661
"M1_DF_DARK_022_K176582_P2",0.167368121846223,0.101153010391399,0.353981269818544,0.377497597943835,-0.0826318781537774,-0.148846989608601,0.103981269818544,0.127497597943835,0.169225808170835,0.0810740108152627,-0.0826318781537775,0.446778281636059,-0.414812239755916,0.205032672196327,0.344368187652749,0.595387958434406,0.0028641003334682
"M1_DF_DARK_022_K176582_P3",0.166255797102447,0.0773039820563913,0.366897610703559,0.389542610137603,-0.0837442028975531,-0.172696017943609,0.116897610703559,0.139542610137603,0.191206329196405,0.0943805929725264,-0.0837442028975531,0.458519344686463,-0.374231198251064,0.229086551708205,0.331632649142799,0.690784071774435,0.00277781287307011
"M1_DF_DARK_022_K176582_P4",0.236361963032144,0.125736069021806,0.310609506442894,0.327292461503156,-0.0136380369678562,-0.124263930978194,0.0606095064428939,0.0772924615031562,0.123427578993862,0.059464315304188,-0.0136380369678562,0.44896155300922,-0.0992172229619605,0.137682127028959,0.276995355661813,0.497055723912776,0.00144399204577589
"M1_DF_DARK_022_K176583_P1",0.221951235351239,0.185601921867244,0.296359034594938,0.29608780818658,-0.0280487646487611,-0.0643980781327564,0.0463590345949378,0.0460878081865798,0.0676585113153806,0.0392544457534911,-0.0280487646487611,0.52572212962819,-0.344299505117627,0.0830982482555971,0.322595994574133,0.257592312531026,0.00427451377939248
"M1_DF_DARK_022_K176583_P2",0.184185620108447,0.107736052191539,0.348426099986669,0.359652227713345,-0.0658143798915533,-0.142263947808461,0.0984260999866692,0.109652227713345,0.154266521995458,0.081127746959026,-0.0658143798915533,0.484147112695133,-0.361045009360093,0.186309966818022,0.327401934376345,0.569055791233844,0.00374341111732209
"M1_DF_DARK_022_K176583_P3",0.165845770627912,0.0883434690896523,0.364265391945599,0.381545368336837,-0.0841542293720878,-0.161656530910348,0.114265391945599,0.131545368336837,0.179548761192631,0.0914437371222417,-0.0841542293720878,0.471057922415043,-0.395630310639851,0.218361280967804,0.337693255784549,0.646626123641391,0.00331933577905052
"M1_DF_DARK_022_K176583_P4",0.218912640271991,0.152740183525952,0.301631954851351,0.326715221350706,-0.0310873597280092,-0.097259816474048,0.0516319548513514,0.0767152213507058,0.106537517663012,0.0437729166655319,-0.0310873597280092,0.389840572362472,-0.263622026312487,0.119301026140025,0.306655488528138,0.389039265896192,0.00177027356594153
"M1_DF_DARK_022_K176584_P1",0.237049587253053,0.182827789644107,0.290217874742807,0.289904748360033,-0.0129504127469468,-0.067172210355893,0.0402178747428066,0.0399047483600332,0.0655709780157698,0.0380788355970592,-0.0129504127469468,0.526127600719415,-0.169159476128636,0.0769237549050273,0.28629307602604,0.268688841423572,0.00335850664120396
"M1_DF_DARK_022_K176584_P2",0.186914202964481,0.12555049652482,0.326182783577014,0.361352516933685,-0.0630857970355188,-0.12444950347518,0.0761827835770139,0.111352516933685,0.144398657579766,0.0584998468752738,-0.0630857970355188,0.384918684812454,-0.384739594149419,0.168086353351114,0.337659750857578,0.497798013900719,0.00313680529905068
"M1_DF_DARK_022_K176584_P3",0.191070094718102,0.131187102717753,0.32664592748563,0.351096875078515,-0.0589299052818985,-0.118812897282247,0.0766459274856303,0.101096875078515,0.134666682933867,0.0604604147933766,-0.0589299052818985,0.421991572668397,-0.379825128503494,0.158944364435898,0.33444257330565,0.475251589128987,0.00314372460233439
"M1_DF_DARK_022_K176584_P4",0.211393201172749,0.116821439806658,0.31028272073133,0.361502638289264,-0.0386067988272514,-0.133178560193342,0.0602827207313298,0.111502638289264,0.149836021483759,0.05028991630092,-0.0386067988272515,0.323818841954374,-0.239577556349638,0.16269724623153,0.305411858326397,0.532714240773368,0.00136162499916231
"M1_DF_DARK_022_K176585_P1",0.226651450117051,0.174662211718731,0.291776711305387,0.306909626858832,-0.0233485498829492,-0.0753377882812693,0.0417767113053866,0.0569096268588319,0.0809846717238167,0.0360559348130144,-0.0233485498829492,0.418871146138336,-0.257534814357418,0.091671709218773,0.304202284504696,0.301351153125077,0.00221984689158254
"M1_DF_DARK_022_K176585_P2",0.175045028368099,0.0909935819083319,0.349786693937186,0.384174695786384,-0.074954971631901,-0.159006418091668,0.0997866939371856,0.134174695786384,0.179536032805509,0.0793391875704744,-0.074954971631901,0.416107902362888,-0.364777942869128,0.210109832069379,0.330348036562036,0.636025672366672,0.00327550434739564
"M1_DF_DARK_022_K176585_P3",0.182056916084689,0.0861671699511486,0.349797400238863,0.381978513725299,-0.0679430839153113,-0.163832830048851,0.0997974002388633,0.131978513725299,0.181146713093423,0.0818296199949107,-0.0679430839153113,0.424292650847062,-0.329364126731123,0.210063040597306,0.320544790282066,0.655331320195405,0.00299434308186689
"M1_DF_DARK_022_K176585_P4",0.237946726995474,0.126286083378555,0.308543669463838,0.327223520162134,-0.0120532730045263,-0.123713916621445,0.0585436694638377,0.0772235201621335,0.12304854758563,0.0578334629716385,-0.0120532730045263,0.439365184729908,-0.0884206506155592,0.136495186333975,0.275828277977084,0.49485566648578,0.0017114524528194
"M1_DF_DARK_022_K176586_P1",0.205838642152353,0.185403488529074,0.305068283042509,0.303689586276064,-0.0441613578476469,-0.0645965114709258,0.055068283042509,0.0536895862760638,0.0724351457862748,0.0427953367512489,-0.0441613578476469,0.533634008765543,-0.483370152823549,0.0950185072482178,0.367738539917069,0.258386045883703,0.00327078753132694
"M1_DF_DARK_022_K176586_P2",0.19061810045202,0.109839381338,0.339832061167082,0.359710457042898,-0.0593818995479803,-0.140160618662,0.0898320611670821,0.109710457042898,0.153014159239337,0.0742866175037551,-0.0593818995479803,0.451971174588312,-0.335884457198164,0.180161162467932,0.321347687010419,0.560642474647999,0.00291182378915653
"M1_DF_DARK_022_K176586_P3",0.16344776521494,0.0929722643714662,0.357657375464408,0.385922594949185,-0.0865522347850599,-0.157027735628534,0.107657375464408,0.135922594949185,0.179394707473766,0.0835870542817611,-0.08655223478506,0.436029748354598,-0.412264659251487,0.216010523029292,0.343905046717811,0.628110942514135,0.00262341833456804
"M1_DF_DARK_022_K176586_P4",0.218328807830699,0.12870280291369,0.312228534084089,0.340739855171521,-0.0316711921693009,-0.12129719708631,0.0622285340840893,0.0907398551715215,0.129845646148885,0.0548058702756491,-0.0316711921693009,0.39939883627574,-0.221044950840081,0.144452897699968,0.297725135390354,0.485188788345239,0.00110162383896257
"M1_DF_DARK_022_K176587_P1",0.229588653730863,0.169503040620837,0.299499729145431,0.301408576502869,-0.0204113462691374,-0.0804969593791626,0.0494997291454314,0.0514085765028686,0.0807753142898385,0.045285890538421,-0.0204113462691374,0.510975572407082,-0.216946938521464,0.0948266119662549,0.294503707648123,0.321987837516651,0.00324702010622919
"M1_DF_DARK_022_K176587_P2",0.17340670119079,0.0966015402807825,0.346455573059756,0.383536185468671,-0.0765932988092096,-0.153398459719217,0.096455573059756,0.133536185468671,0.175710867559216,0.075226764199962,-0.0765932988092096,0.404517210756593,-0.38113077520086,0.205912380523576,0.3355841722604,0.61359383887687,0.00232105215534421
"M1_DF_DARK_022_K176587_P3",0.17486511809877,0.0996074812589218,0.34865741403651,0.376869986605798,-0.0751348819012298,-0.150392518741078,0.0986574140365098,0.126869986605798,0.169787915726385,0.0780777974713124,-0.0751348819012298,0.431018938486738,-0.382271620778041,0.201418294260956,0.334821000318051,0.601570074964313,0.0032121733318849
